순번,기준년,기준월,상권코드,상권명,성별코드,성별,시간대코드,시간대,행정동코드,행정동명,유동인구수,시간당 평균 유동인구수,데이터생성일자
164,2021,01월,9,둔산3동상점가 주변 상권,m,남성,2,주간,3017066000,둔산3동,120572.59,13396.96,2022-11-15
165,2021,01월,9,둔산3동상점가 주변 상권,f,여성,3,퇴근,3017066000,둔산3동,38806.75,19403.38,2022-11-15
166,2021,01월,9,둔산3동상점가 주변 상권,m,남성,3,퇴근,3017066000,둔산3동,38511.79,19255.9,2022-11-15
167,2021,01월,9,둔산3동상점가 주변 상권,f,여성,4,저녁,3017066000,둔산3동,78276.99,19569.26,2022-11-15
168,2021,01월,9,둔산3동상점가 주변 상권,m,남성,4,저녁,3017066000,둔산3동,75547.95,18887,2022-11-15
169,2021,01월,9,둔산3동상점가 주변 상권,f,여성,5,야간,3017066000,둔산3동,33256.78,4750.97,2022-11-15
170,2021,01월,9,둔산3동상점가 주변 상권,m,남성,5,야간,3017066000,둔산3동,37583.37,5369.06,2022-11-15
171,2021,01월,10,도마큰시장 주변 상권,f,여성,1,출근,3017052000,도마1동,14720.25,7360.13,2022-11-15
172,2021,01월,10,도마큰시장 주변 상권,m,남성,1,출근,3017052000,도마1동,20797.38,10398.69,2022-11-15
173,2021,01월,10,도마큰시장 주변 상권,f,여성,2,주간,3017052000,도마1동,199799.4,22199.93,2022-11-15
174,2021,01월,10,도마큰시장 주변 상권,m,남성,2,주간,3017052000,도마1동,195971.52,21774.61,2022-11-15
175,2021,01월,10,도마큰시장 주변 상권,f,여성,3,퇴근,3017052000,도마1동,31016.77,15508.39,2022-11-15
176,2021,01월,10,도마큰시장 주변 상권,m,남성,3,퇴근,3017052000,도마1동,33125.27,16562.64,2022-11-15
177,2021,01월,10,도마큰시장 주변 상권,f,여성,4,저녁,3017052000,도마1동,42772.32,10693.09,2022-11-15
178,2021,01월,10,도마큰시장 주변 상권,m,남성,4,저녁,3017052000,도마1동,46181.55,11545.4,2022-11-15
179,2021,01월,10,도마큰시장 주변 상권,f,여성,5,야간,3017052000,도마1동,17454.01,2493.43,2022-11-15
180,2021,01월,10,도마큰시장 주변 상권,m,남성,5,야간,3017052000,도마1동,23465,3352.14,2022-11-15
181,2021,01월,10,도마큰시장 주변 상권,f,여성,1,출근,3017053000,도마2동,561.79,280.9,2022-11-15
182,2021,01월,10,도마큰시장 주변 상권,m,남성,1,출근,3017053000,도마2동,837.87,418.94,2022-11-15
183,2021,01월,10,도마큰시장 주변 상권,f,여성,2,주간,3017053000,도마2동,8694,966,2022-11-15
184,2021,01월,10,도마큰시장 주변 상권,m,남성,2,주간,3017053000,도마2동,8851.66,983.52,2022-11-15
185,2021,01월,10,도마큰시장 주변 상권,f,여성,3,퇴근,3017053000,도마2동,1234.57,617.29,2022-11-15
186,2021,01월,10,도마큰시장 주변 상권,m,남성,3,퇴근,3017053000,도마2동,1453.1,726.55,2022-11-15
187,2021,01월,10,도마큰시장 주변 상권,f,여성,4,저녁,3017053000,도마2동,1467.13,366.8,2022-11-15
188,2021,01월,10,도마큰시장 주변 상권,m,남성,4,저녁,3017053000,도마2동,1771.7,442.94,2022-11-15
189,2021,01월,10,도마큰시장 주변 상권,f,여성,5,야간,3017053000,도마2동,677.43,96.78,2022-11-15
190,2021,01월,10,도마큰시장 주변 상권,m,남성,5,야간,3017053000,도마2동,923.53,131.93,2022-11-15
191,2021,01월,11,이마트 트레이더스 월평점 주변 상권,f,여성,1,출근,3017058600,월평1동,22413.84,11206.92,2022-11-15
